Algorithm,Data Rate (Gbps),Duration (s),Packet Loss Rate (%),Throughput (Gbps),Avg Hop Count
DR,1.0,40,3.9348,0.910928,10.5
DR,1.0,50,6.3399,0.888125,10.5
DR,1.0,60,8.3731,0.868845,10.5
DR,1.0,70,10.0839,0.852622,10.5
DR,1.0,80,11.5381,0.838832,10.5
DR,1.0,90,12.7888,0.826972,10.5
DR,1.0,100,13.8714,0.816705,10.5
DR,1.2,10,0.0314,1.112547,10.5
DR,1.2,20,0.4184,1.108252,10.5
DR,1.2,30,2.6838,1.083061,10.5
DR,1.2,40,5.6180,1.050413,10.5
DR,1.2,50,8.1107,1.022673,10.5
DR,1.2,60,10.1730,0.999721,10.5
DR,1.2,70,11.8994,0.980506,10.5
DR,1.2,80,13.3610,0.964238,10.5
DR,1.2,90,14.6117,0.950318,10.5
DR,1.2,100,15.6943,0.938268,10.5
DR,1.4,10,0.0522,1.265233,10.5
DR,1.4,20,0.8850,1.254717,10.5
DR,1.4,30,4.0991,1.214058,10.5
DR,1.4,40,7.1898,1.174937,10.5
DR,1.4,50,9.7239,1.142858,10.5
DR,1.4,60,11.8015,1.116556,10.5
DR,1.4,70,13.5332,1.094632,10.5
DR,1.4,80,14.9949,1.076127,10.5
DR,1.4,90,16.2455,1.060292,10.5
DR,1.4,100,17.3282,1.046585,10.5
DR,1.6,10,0.0710,1.405608,10.5
DR,1.6,20,1.7204,1.382457,10.5
DR,1.6,30,5.4732,1.329697,10.5
DR,1.6,40,8.6415,1.285135,10.5
DR,1.6,50,11.1887,1.249304,10.5
DR,1.6,60,13.2744,1.219965,10.5
DR,1.6,70,15.0061,1.195604,10.5
DR,1.6,80,16.4677,1.175041,10.5
DR,1.6,90,17.7184,1.157446,10.5
DR,1.6,100,18.8010,1.142214,10.5
DR,1.8,10,0.1076,1.533171,10.5
DR,1.8,20,2.7752,1.492306,10.5
DR,1.8,30,6.7598,1.431171,10.5
DR,1.8,40,9.9602,1.382052,10.5
DR,1.8,50,12.5232,1.342714,10.5
DR,1.8,60,14.6088,1.310700,10.5
DR,1.8,70,16.3405,1.284117,10.5
DR,1.8,80,17.8021,1.261680,10.5
DR,1.8,90,19.0528,1.242480,10.5
DR,1.8,100,20.1355,1.225859,10.5
DR,2.0,10,0.2137,1.647142,10.5
DR,2.0,20,3.8555,1.587126,10.5
DR,2.0,30,7.9581,1.519423,10.5
DR,2.0,40,11.1749,1.466327,10.5
DR,2.0,50,13.7379,1.424019,10.5
DR,2.0,60,15.8235,1.389588,10.5
DR,2.0,70,17.5552,1.360999,10.5
DR,2.0,80,19.0168,1.336867,10.5
DR,2.0,90,20.2675,1.316217,10.5
DR,2.0,100,21.3528,1.298299,10.5
DR,2.2,10,0.4243,1.747106,10.5
DR,2.2,20,4.9020,1.668647,10.5
DR,2.2,30,9.0552,1.595793,10.5
DR,2.2,40,12.2853,1.539123,10.5
DR,2.2,50,14.8483,1.494153,10.5
DR,2.2,60,16.9339,1.457555,10.5
DR,2.2,70,18.6656,1.427166,10.5
DR,2.2,80,20.1272,1.401515,10.5
DR,2.2,90,21.3841,1.379456,10.5
DR,2.2,100,22.4772,1.360272,10.5
DR,2.4,10,0.7916,1.832437,10.5
DR,2.4,20,5.8875,1.738415,10.5
DR,2.4,30,10.0742,1.661103,10.5
DR,2.4,40,13.3043,1.601446,10.5
DR,2.4,50,15.8673,1.554105,10.5
DR,2.4,60,17.9529,1.515578,10.5
DR,2.4,70,19.6846,1.483586,10.5
DR,2.4,80,21.1544,1.456432,10.5
DR,2.4,90,22.4160,1.433124,10.5
DR,2.4,100,23.5091,1.412928,10.5
DR,2.6,10,1.3774,1.902371,10.5
DR,2.6,20,6.8140,1.797593,10.5
DR,2.6,30,11.0126,1.716627,10.5
DR,2.6,40,14.2427,1.654326,10.5
DR,2.6,50,16.8056,1.604888,10.5
DR,2.6,60,18.8913,1.564652,10.5
DR,2.6,70,20.6316,1.531078,10.5
DR,2.6,80,22.1047,1.502657,10.5
DR,2.6,90,23.3663,1.478315,10.5
DR,2.6,100,24.4594,1.457224,10.5
DR,2.8,10,2.0823,1.959349,10.5
DR,2.8,20,7.6724,1.847572,10.5
DR,2.8,30,11.8796,1.763410,10.5
DR,2.8,40,15.1097,1.698783,10.5
DR,2.8,50,17.6726,1.647498,10.5
DR,2.8,60,19.7658,1.605609,10.5
DR,2.8,70,21.5095,1.570712,10.5
DR,2.8,80,22.9826,1.541229,10.5
DR,2.8,90,24.2442,1.515978,10.5
DR,2.8,100,25.3374,1.494098,10.5
STR,1.0,10,0.0082,0.945455,10.2
STR,1.0,20,0.4678,0.941113,10.2
STR,1.0,30,2.7600,0.919451,10.2
STR,1.0,40,5.6937,0.891719,10.2
STR,1.0,50,8.1769,0.868241,10.2
STR,1.0,60,10.2081,0.849036,10.2
STR,1.0,70,11.8932,0.833103,10.2
STR,1.0,80,13.3027,0.819775,10.2
STR,1.0,90,14.4995,0.808458,10.2
STR,1.0,100,15.5288,0.798725,10.2
STR,1.2,10,0.0518,1.107936,10.2
STR,1.2,20,1.0810,1.096539,10.2
STR,1.2,30,4.3463,1.060363,10.2
STR,1.2,40,7.4758,1.025679,10.2
STR,1.2,50,9.9980,0.997722,10.2
STR,1.2,60,12.0497,0.974979,10.2
STR,1.2,70,13.7347,0.956299,10.2
STR,1.2,80,15.1442,0.940674,10.2
STR,1.2,90,16.3411,0.927406,10.2
STR,1.2,100,17.3704,0.915995,10.2
STR,1.4,10,0.1068,1.258011,10.2
STR,1.4,20,2.0019,1.234176,10.2
STR,1.4,30,5.8817,1.185340,10.2
STR,1.4,40,9.0899,1.144943,10.2
STR,1.4,50,11.6452,1.112763,10.2
STR,1.4,60,13.6970,1.086924,10.2
STR,1.4,70,15.3820,1.065702,10.2
STR,1.4,80,16.7915,1.047951,10.2
STR,1.4,90,17.9884,1.032877,10.2
STR,1.4,100,19.0176,1.019913,10.2
STR,1.6,10,0.1703,1.395135,10.2
STR,1.6,20,3.1760,1.353186,10.2
STR,1.6,30,7.3194,1.295304,10.2
STR,1.6,40,10.5721,1.249852,10.2
STR,1.6,50,13.1275,1.214142,10.2
STR,1.6,60,15.1792,1.185468,10.2
STR,1.6,70,16.8642,1.161918,10.2
STR,1.6,80,18.2737,1.142219,10.2
STR,1.6,90,19.4706,1.125491,10.2
STR,1.6,100,20.4999,1.111105,10.2
STR,1.8,10,0.3104,1.518114,10.2
STR,1.8,20,4.3776,1.456258,10.2
STR,1.8,30,8.6370,1.391416,10.2
STR,1.8,40,11.9129,1.341534,10.2
STR,1.8,50,14.4682,1.302622,10.2
STR,1.8,60,16.5200,1.271377,10.2
STR,1.8,70,18.2050,1.245715,10.2
STR,1.8,80,19.6145,1.224249,10.2
STR,1.8,90,20.8114,1.206020,10.2
STR,1.8,100,21.8407,1.190343,10.2
STR,2.0,10,0.6017,1.625706,10.2
STR,2.0,20,5.5341,1.545130,10.2
STR,2.0,30,9.8557,1.474468,10.2
STR,2.0,40,13.1316,1.420896,10.2
STR,2.0,50,15.6869,1.379105,10.2
STR,2.0,60,17.7386,1.345548,10.2
STR,2.0,70,19.4237,1.317986,10.2
STR,2.0,80,20.8332,1.294931,10.2
STR,2.0,90,22.0300,1.275354,10.2
STR,2.0,100,23.0617,1.258477,10.2
STR,2.2,10,1.0985,1.717039,10.2
STR,2.2,20,6.6164,1.621342,10.2
STR,2.2,30,10.9682,1.545811,10.2
STR,2.2,40,14.2441,1.488947,10.2
STR,2.2,50,16.7995,1.444587,10.2
STR,2.2,60,18.8512,1.408967,10.2
STR,2.2,70,20.5362,1.379711,10.2
STR,2.2,80,21.9457,1.355239,10.2
STR,2.2,90,23.1486,1.334351,10.2
STR,2.2,100,24.1883,1.316298,10.2
STR,2.4,10,1.7706,1.792897,10.2
STR,2.4,20,7.6240,1.686155,10.2
STR,2.4,30,11.9879,1.606529,10.2
STR,2.4,40,15.2638,1.546749,10.2
STR,2.4,50,17.8191,1.500113,10.2
STR,2.4,60,19.8708,1.462665,10.2
STR,2.4,70,21.5559,1.431908,10.2
STR,2.4,80,22.9735,1.406032,10.2
STR,2.4,90,24.1812,1.383984,10.2
STR,2.4,100,25.2209,1.365003,10.2
STR,2.6,10,2.5568,1.854998,10.2
STR,2.6,20,8.5620,1.740765,10.2
STR,2.6,30,12.9259,1.657721,10.2
STR,2.6,40,16.2017,1.595373,10.2
STR,2.6,50,18.7571,1.546734,10.2
STR,2.6,60,20.8088,1.507677,10.2
STR,2.6,70,22.5024,1.475435,10.2
STR,2.6,80,23.9233,1.448383,10.2
STR,2.6,90,25.1311,1.425388,10.2
STR,2.6,100,26.1708,1.405591,10.2
STR,2.8,10,3.3423,1.906448,10.2
STR,2.8,20,9.4277,1.786503,10.2
STR,2.8,30,13.7916,1.700465,10.2
STR,2.8,40,17.0675,1.635870,10.2
STR,2.8,50,19.6228,1.585476,10.2
STR,2.8,60,21.6821,1.544861,10.2
STR,2.8,70,23.3791,1.511388,10.2
STR,2.8,80,24.8000,1.483360,10.2
STR,2.8,90,26.0077,1.459534,10.2
STR,2.8,100,27.0474,1.439023,10.2
