Algorithm,Data Rate (Gbps),Duration (s),Packet Loss Rate (%),Throughput (Gbps),Avg Hop Count
DR,2.4,30,10.7723,1.639390,10.7
DR,2.4,40,14.0399,1.579369,10.7
DR,2.4,50,16.6168,1.532030,10.7
DR,2.4,60,18.7031,1.493701,10.7
DR,2.4,70,20.4278,1.462013,10.7
DR,2.4,80,21.8894,1.435157,10.7
DR,2.4,90,23.1375,1.412223,10.7
DR,2.4,100,24.2157,1.392408,10.7
DR,2.6,10,1.6991,1.884898,10.7
DR,2.6,20,7.4231,1.775238,10.7
DR,2.6,30,11.7106,1.693056,10.7
DR,2.6,40,14.9782,1.630413,10.7
DR,2.6,50,17.5551,1.581006,10.7
DR,2.6,60,19.6414,1.541002,10.7
DR,2.6,70,21.3776,1.507708,10.7
DR,2.6,80,22.8395,1.479670,10.7
DR,2.6,90,24.0876,1.455734,10.7
DR,2.6,100,25.1659,1.435053,10.7
DR,2.8,10,2.4443,1.939411,10.7
DR,2.8,20,8.2896,1.823296,10.7
DR,2.8,30,12.5771,1.738095,10.7
DR,2.8,40,15.8447,1.673150,10.7
DR,2.8,50,18.4216,1.621926,10.7
DR,2.8,60,20.5180,1.580250,10.7
DR,2.8,70,22.2550,1.545715,10.7
DR,2.8,80,23.7170,1.516646,10.7
DR,2.8,90,24.9650,1.491829,10.7
DR,2.8,100,26.0433,1.470387,10.7
STR,1.0,10,0.0166,0.943486,10.3
STR,1.0,20,0.5208,0.938743,10.3
STR,1.0,30,3.3055,0.912479,10.3
STR,1.0,40,6.4733,0.882591,10.3
STR,1.0,50,9.0011,0.858739,10.3
STR,1.0,60,11.0447,0.839453,10.3
STR,1.0,70,12.7160,0.823681,10.3
STR,1.0,80,14.1081,0.810543,10.3
STR,1.0,90,15.2858,0.799429,10.3
STR,1.0,100,16.2953,0.789901,10.3
STR,1.2,10,0.0407,1.104980,10.3
STR,1.2,20,1.3109,1.090972,10.3
STR,1.2,30,5.0500,1.049656,10.3
STR,1.2,40,8.3005,1.013729,10.3
STR,1.2,50,10.8534,0.985508,10.3
STR,1.2,60,12.8984,0.962900,10.3
STR,1.2,70,14.5697,0.944423,10.3
STR,1.2,80,15.9617,0.929033,10.3
STR,1.2,90,17.1394,0.916012,10.3
STR,1.2,100,18.1490,0.904850,10.3
STR,1.4,10,0.0954,1.253591,10.3
STR,1.4,20,2.4522,1.224071,10.3
STR,1.4,30,6.6648,1.171231,10.3
STR,1.4,40,9.9475,1.130045,10.3
STR,1.4,50,12.5093,1.097897,10.3
STR,1.4,60,14.5543,1.072234,10.3
STR,1.4,70,16.2256,1.051260,10.3
STR,1.4,80,17.6176,1.033790,10.3
STR,1.4,90,18.7953,1.019009,10.3
STR,1.4,100,19.8049,1.006339,10.3
STR,1.6,10,0.1808,1.388679,10.3
STR,1.6,20,3.7759,1.338736,10.3
STR,1.6,30,8.1345,1.278119,10.3
STR,1.6,40,11.4356,1.232195,10.3
STR,1.6,50,13.9975,1.196553,10.3
STR,1.6,60,16.0425,1.168099,10.3
STR,1.6,70,17.7137,1.144845,10.3
STR,1.6,80,19.1058,1.125475,10.3
STR,1.6,90,20.2835,1.109087,10.3
STR,1.6,100,21.2930,1.095038,10.3
STR,1.8,10,0.3362,1.509452,10.3
STR,1.8,20,5.0717,1.437822,10.3
STR,1.8,30,9.4734,1.371176,10.3
STR,1.8,40,12.7804,1.321091,10.3
STR,1.8,50,15.3422,1.282289,10.3
STR,1.8,60,17.3872,1.251312,10.3
STR,1.8,70,19.0585,1.225994,10.3
STR,1.8,80,20.4505,1.204906,10.3
STR,1.8,90,21.6282,1.187064,10.3
STR,1.8,100,22.6377,1.171769,10.3
STR,2.0,10,0.7549,1.612843,10.3
STR,2.0,20,6.2690,1.523332,10.3
STR,2.0,30,10.6944,1.451432,10.3
STR,2.0,40,14.0014,1.397692,10.3
STR,2.0,50,16.5632,1.356057,10.3
STR,2.0,60,18.6082,1.322818,10.3
STR,2.0,70,20.2795,1.295652,10.3
STR,2.0,80,21.6715,1.273023,10.3
STR,2.0,90,22.8504,1.253859,10.3
STR,2.0,100,23.8706,1.237275,10.3
STR,2.2,10,1.3810,1.699630,10.3
STR,2.2,20,7.3686,1.596536,10.3
STR,2.2,30,11.8081,1.520042,10.3
STR,2.2,40,15.1151,1.463052,10.3
STR,2.2,50,17.6769,1.418898,10.3
STR,2.2,60,19.7219,1.383648,10.3
STR,2.2,70,21.3932,1.354838,10.3
STR,2.2,80,22.7894,1.330769,10.3
STR,2.2,90,23.9782,1.310274,10.3
STR,2.2,100,24.9984,1.292686,10.3
STR,2.4,10,2.1890,1.770608,10.3
STR,2.4,20,8.3858,1.658527,10.3
STR,2.4,30,12.8281,1.578131,10.3
STR,2.4,40,16.1350,1.518272,10.3
STR,2.4,50,18.6968,1.471895,10.3
STR,2.4,60,20.7418,1.434869,10.3
STR,2.4,70,22.4185,1.404511,10.3
STR,2.4,80,23.8222,1.379094,10.3
STR,2.4,90,25.0111,1.357566,10.3
STR,2.4,100,26.0313,1.339091,10.3
STR,2.6,10,3.0603,1.828657,10.3
STR,2.6,20,9.3233,1.710607,10.3
STR,2.6,30,13.7656,1.626833,10.3
STR,2.6,40,17.0725,1.564457,10.3
STR,2.6,50,19.6343,1.516128,10.3
STR,2.6,60,21.6843,1.477453,10.3
STR,2.6,70,23.3678,1.445687,10.3
STR,2.6,80,24.7716,1.419200,10.3
STR,2.6,90,25.9604,1.396766,10.3
STR,2.6,100,26.9806,1.377513,10.3
STR,2.8,10,3.8986,1.876697,10.3
STR,2.8,20,10.1880,1.753971,10.3
STR,2.8,30,14.6302,1.667249,10.3
STR,2.8,40,17.9372,1.602677,10.3
STR,2.8,50,20.5020,1.552589,10.3
STR,2.8,60,22.5599,1.512396,10.3
STR,2.8,70,24.2435,1.479511,10.3
STR,2.8,80,25.6472,1.452090,10.3
STR,2.8,90,26.8360,1.428866,10.3
STR,2.8,100,27.8562,1.408934,10.3
